Demand,Stock,Production
102,435,238.81644472857582
860,270,801.7748917748914
106,71,499.999999999998
700,20,795.8333333333269
614,121,815.8937198067603
466,214,742.9584854158302
330,458,419.23578638186166
87,372,306.52392182116824
99,871,175.48542660307353
663,130,801.4530837532968
661,308,632.2614742698237
769,343,738.4407644708873
491,413,543.2679584844865
805,385,815.095923261384
191,955,184.26483357452994
276,160,585.2075622395821
459,313,596.3341634059324
21,252,442.42447596602835
747,856,499.9999999999999
560,474,532.5378151260469
58,510,168.67622461170834
681,475,620.7178541083065
699,975,500.0000000000019
782,189,811.2701949860784
957,686,629.1398388000605
957,562,764.4215093247371
875,566,757.7903588239261
243,831,274.81539143833714
504,130,824.3915343915302
484,818,490.23368110266847
646,20,806.7812655705083
840,166,819.5415415415374
273,387,419.46604654997566
600,315,624.8012016330762
13,241,454.93916824328466
776,345,752.1052014478523
564,897,499.99999999999994
339,91,657.3462528505815
366,955,419.9284711929759
454,427,514.5475160856379
508,775,505.3261760687112
942,34,831.3237753882943
205,80,505.3203814619264
931,561,765.5018974176643
871,387,816.1568469195578
1,389,288.1998045272007
565,105,826.9025875190265
771,821,499.999999999999
476,702,480.6170121263271
401,729,432.04694766722776
555,161,820.2617246596088
201,957,188.0812075321194
995,269,801.9674902470778
862,815,500.0000000000014
270,455,359.50983773654224
461,726,471.26260663357914
251,701,307.334425852458
295,724,352.6597948530454
719,748,561.9447788716384
337,878,396.29175890217124
52,791,187.2031029619186
921,216,811.6126629422655
763,187,807.9289914065996
379,492,434.242589005206
40,156,500.0000000000013
14,812,183.79069767441885
64,856,177.39958592132473
838,520,796.3012936808086
343,128,661.7810155022064
647,471,590.1744325833791
62,138,500.00000000000074
498,592,498.8231429941023
391,674,422.24751576871745
418,288,589.5349212300601
378,772,425.57545762674783
489,230,737.060746518301
40,27,500.0000000000004
134,200,500.00000000000216
839,779,522.7050730539474
929,32,830.3905429071795
